policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text
P1275,District Early Childhood Education Reform 20,Early Childhood,Uttar Pradesh,2016,Students,Implemented,0.36,"Central Government, Donors",0.907,A nationwide/state-level initiative to strengthen early childhood development through grants to schools. Targets Students and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through grants to schools. Targets Students and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Stakeholder consultations planned."
P1276,National Primary Education Reform 15,Vocational,Punjab,2024,Teachers,Proposed,11.39,"Central Government, Donors",0.389,A nationwide/state-level initiative to strengthen vocational skills through scholarship schemes. Targets Teachers and aims to improve retention.,Increase vocational skills score by 7% within 5 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through scholarship schemes. Targets Teachers and aims to improve retention. Goals: Increase vocational skills score by 7% within 5 years and reduce disparities between rural and urban areas. Focus on equity. Budget allocations defined.
P1277,National Vocational Education Reform 22,Higher Education,Rajasthan,2017,Urban Students,Implemented,1.1,"EdTech Companies, Universities",0.435,A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Urban Students and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Urban Students and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Includes evaluation."
P1278,National Secondary Education Reform 82,Higher Education,Rajasthan,2022,Urban Students,Implemented,14.16,"Ministry of Education, Local NGOs",0.631,This policy aims to improve vocational skills in Higher Education by providing curriculum reform across Rajasthan. It focuses on STEM education.,Increase vocational skills score by 31% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve vocational skills in Higher Education by providing curriculum reform across Rajasthan. It focuses on STEM education. Goals: Increase vocational skills score by 31% within 1 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Focus on equity.
P1279,District Higher Education Education Reform 98,Early Childhood,Rajasthan,2018,Urban Students,Implemented,24.25,"Ministry of Education, Local NGOs",0.809,This policy aims to improve vocational skills in Early Childhood by providing curriculum reform across Rajasthan. It focuses on urban inclusion.,"Train 1358 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Early Childhood by providing curriculum reform across Rajasthan. It focuses on urban inclusion. Goals: Train 1358 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Budget allocations defined."
P1280,District Vocational Education Reform 6,Primary,Karnataka,2023,Teachers,Implemented,2.68,"Ministry of Education, Local NGOs",0.163,A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Teachers and aims to raise completion rates.,Increase infrastructure score by 25% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen infrastructure through public-private partnerships. Targets Teachers and aims to raise completion rates. Goals: Increase infrastructure score by 25% within 2 years and reduce disparities between rural and urban areas. Focus on equity. Includes evaluation.
P1281,District Vocational Education Reform 26,Vocational,Uttar Pradesh,2016,Urban Students,Pilot,4.51,"State Education Department, Private Partners",0.292,A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Urban Students and aims to reduce dropout rates.,Increase early childhood development score by 34% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen early childhood development through curriculum reform. Targets Urban Students and aims to reduce dropout rates. Goals: Increase early childhood development score by 34% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Includes evaluation.
P1282,National Early Childhood Education Reform 8,Higher Education,Tamil Nadu,2016,All,Pilot,0.27,"Teachers' Unions, Community Leaders",0.296,This policy aims to improve teacher quality in Higher Education by providing scholarship schemes across Tamil Nadu. It focuses on gender equity.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Higher Education by providing scholarship schemes across Tamil Nadu. It focuses on gender equity. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Timeline set."
P1283,State Primary Education Reform 94,Vocational,Uttar Pradesh,2018,Rural Students,Pilot,18.38,"EdTech Companies, Universities",0.942,"Policy to enhance early childhood development and community participation using grants to schools. Includes capacity-building, monitoring and community engagement.","Train 378 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","Policy to enhance early childhood development and community participation using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Train 378 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Timeline set. Focus on equity."
P1284,State Vocational Education Reform 31,Primary,Rajasthan,2015,Disadvantaged Groups,Pilot,6.99,"Teachers' Unions, Community Leaders",0.313,This policy aims to improve learning outcomes in Primary by providing grants to schools across Rajasthan. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve learning outcomes in Primary by providing grants to schools across Rajasthan. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Includes evaluation."
P1285,State Vocational Education Reform 91,Primary,Maharashtra,2021,Disadvantaged Groups,Under Review,1.83,"Teachers' Unions, Community Leaders",0.721,This policy aims to improve early childhood development in Primary by providing scholarship schemes across Maharashtra. It focuses on STEM education.,Increase early childhood development score by 8% within 5 years and reduce disparities between rural and urban areas.,This policy aims to improve early childhood development in Primary by providing scholarship schemes across Maharashtra. It focuses on STEM education. Goals: Increase early childhood development score by 8% within 5 years and reduce disparities between rural and urban areas. Timeline set. Budget allocations defined.
P1286,State Early Childhood Education Reform 6,Higher Education,Kerala,2017,Disadvantaged Groups,Proposed,7.08,"Teachers' Unions, Community Leaders",0.312,A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Disadvantaged Groups and aims to boost employability.,Increase learning outcomes score by 27% within 3 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen learning outcomes through public-private partnerships. Targets Disadvantaged Groups and aims to boost employability. Goals: Increase learning outcomes score by 27% within 3 years and reduce disparities between rural and urban areas. Focus on equity. Budget allocations defined.
P1287,State Vocational Education Reform 63,Early Childhood,Rajasthan,2016,Urban Students,Under Review,0.35,"Ministry of Education, Local NGOs",0.268,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Urban Students and aims to improve retention.,Increase digital access score by 9% within 1 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Urban Students and aims to improve retention. Goals: Increase digital access score by 9% within 1 years and reduce disparities between rural and urban areas. Includes evaluation. Timeline set.
P1288,National Secondary Education Reform 67,Primary,Delhi,2021,Disadvantaged Groups,Implemented,0.24,"Central Government, Donors",0.757,"Policy to enhance learning outcomes and community participation using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 230 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance learning outcomes and community participation using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 230 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Timeline set."
P1289,District Early Childhood Education Reform 71,Vocational,Gujarat,2019,Women,Implemented,33.74,"Teachers' Unions, Community Leaders",0.302,"Policy to enhance teacher quality and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Includes evaluation."
P1290,National Secondary Education Reform 21,Secondary,Maharashtra,2015,Rural Students,Implemented,0.2,"State Education Department, Private Partners",0.283,"Policy to enhance vocational skills and assessment quality using grants to schools. Includes capacity-building, monitoring and community engagement.","Train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance vocational skills and assessment quality using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Train 2866 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity."
P1291,State Vocational Education Reform 99,Secondary,Gujarat,2020,Teachers,Proposed,71.78,"Teachers' Unions, Community Leaders",0.522,This policy aims to improve teacher quality in Secondary by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy.,Increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas.,This policy aims to improve teacher quality in Secondary by providing scholarship schemes across Gujarat. It focuses on literacy and numeracy. Goals: Increase teacher quality score by 26% within 1 years and reduce disparities between rural and urban areas. Stakeholder consultations planned. Focus on equity.
P1292,State Primary Education Reform 52,Early Childhood,Uttar Pradesh,2022,Rural Students,Proposed,24.4,"State Education Department, Private Partners",0.619,This policy aims to improve infrastructure in Early Childhood by providing digital device distribution across Uttar Pradesh. It focuses on gender equity.,"Train 734 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve infrastructure in Early Childhood by providing digital device distribution across Uttar Pradesh. It focuses on gender equity. Goals: Train 734 teachers, deploy online modules to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Stakeholder consultations planned."
P1293,District Early Childhood Education Reform 8,Higher Education,West Bengal,2017,Disadvantaged Groups,Pilot,50.89,"Ministry of Education, Local NGOs",0.353,This policy aims to improve teacher quality in Higher Education by providing digital device distribution across West Bengal. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve teacher quality in Higher Education by providing digital device distribution across West Bengal. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Timeline set. Timeline set."
P1294,National Early Childhood Education Reform 77,Primary,Tamil Nadu,2018,Rural Students,Pilot,25.29,"EdTech Companies, Universities",0.773,This policy aims to improve learning outcomes in Primary by providing grants to schools across Tamil Nadu. It focuses on urban inclusion.,Increase learning outcomes score by 40% within 4 years and reduce disparities between rural and urban areas.,This policy aims to improve learning outcomes in Primary by providing grants to schools across Tamil Nadu. It focuses on urban inclusion. Goals: Increase learning outcomes score by 40% within 4 years and reduce disparities between rural and urban areas. Timeline set. Budget allocations defined.
P1295,District Vocational Education Reform 6,Higher Education,Punjab,2019,Urban Students,Pilot,5.4,"Ministry of Education, Local NGOs",0.237,"Policy to enhance teacher quality and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and safety standards using public-private partnerships. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Focus on equity."
P1296,National Higher Education Education Reform 64,Primary,Punjab,2020,Women,Pilot,0.45,"Central Government, Donors",0.967,A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Women and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Women and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Budget allocations defined."
P1297,National Primary Education Reform 35,Higher Education,West Bengal,2025,Rural Students,Proposed,43.33,"Ministry of Education, Local NGOs",0.557,"Policy to enhance vocational skills and governance using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance vocational skills and governance using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Budget allocations defined. Focus on equity."
P1298,District Early Childhood Education Reform 46,Secondary,Karnataka,2017,Women,Under Review,82.3,"Central Government, Donors",0.403,A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Women and aims to raise completion rates.,"Train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen infrastructure through grants to schools. Targets Women and aims to raise completion rates. Goals: Train 4173 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity."
P1299,National Primary Education Reform 62,Higher Education,Delhi,2020,Teachers,Pilot,33.78,"Teachers' Unions, Community Leaders",0.126,This policy aims to improve learning outcomes in Higher Education by providing teacher training programs across Delhi. It focuses on gender equity.,"Train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve learning outcomes in Higher Education by providing teacher training programs across Delhi. It focuses on gender equity. Goals: Train 1906 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Focus on equity. Focus on equity."
P1300,National Vocational Education Reform 97,Vocational,Karnataka,2018,Students,Proposed,2.61,"Teachers' Unions, Community Leaders",0.139,This policy aims to improve teacher quality in Vocational by providing public-private partnerships across Karnataka. It focuses on marginalized communities.,Increase teacher quality score by 17% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve teacher quality in Vocational by providing public-private partnerships across Karnataka. It focuses on marginalized communities. Goals: Increase teacher quality score by 17% within 2 years and reduce disparities between rural and urban areas. Includes evaluation. Budget allocations defined.
P1301,District Higher Education Education Reform 46,Secondary,Rajasthan,2024,Teachers,Proposed,4.19,"Ministry of Education, Local NGOs",0.571,A nationwide/state-level initiative to strengthen vocational skills through teacher training programs. Targets Teachers and aims to boost employability.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen vocational skills through teacher training programs. Targets Teachers and aims to boost employability. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Includes evaluation."
P1302,State Primary Education Reform 24,Higher Education,West Bengal,2021,Teachers,Implemented,0.15,"Teachers' Unions, Community Leaders",0.21,A nationwide/state-level initiative to strengthen learning outcomes through scholarship schemes. Targets Teachers and aims to raise completion rates.,"Train 3009 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen learning outcomes through scholarship schemes. Targets Teachers and aims to raise completion rates. Goals: Train 3009 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Focus on equity. Timeline set."
P1303,State Vocational Education Reform 77,Higher Education,Gujarat,2018,Women,Pilot,98.8,"Central Government, Donors",0.268,A nationwide/state-level initiative to strengthen learning outcomes through curriculum reform. Targets Women and aims to boost employability.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen learning outcomes through curriculum reform. Targets Women and aims to boost employability. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Focus on equity."
P1304,National Vocational Education Reform 52,Early Childhood,Maharashtra,2017,Students,Under Review,10.08,"EdTech Companies, Universities",0.851,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Students and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Students and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Stakeholder consultations planned. Timeline set."
P1305,State Early Childhood Education Reform 36,Secondary,Gujarat,2016,Students,Under Review,0.3,"State Education Department, Private Partners",0.126,This policy aims to improve vocational skills in Secondary by providing grants to schools across Gujarat. It focuses on marginalized communities.,"Train 269 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve vocational skills in Secondary by providing grants to schools across Gujarat. It focuses on marginalized communities. Goals: Train 269 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Stakeholder consultations planned."
P1306,National Primary Education Reform 85,Early Childhood,Gujarat,2022,Teachers,Under Review,0.3,"Teachers' Unions, Community Leaders",0.583,A nationwide/state-level initiative to strengthen early childhood development through scholarship schemes. Targets Teachers and aims to reduce dropout rates.,"Train 3575 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen early childhood development through scholarship schemes. Targets Teachers and aims to reduce dropout rates. Goals: Train 3575 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Timeline set. Focus on equity."
P1307,National Secondary Education Reform 72,Higher Education,Tamil Nadu,2022,Urban Students,Implemented,77.26,"Central Government, Donors",0.78,A nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. Targets Urban Students and aims to boost employability.,"Train 3948 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen early childhood development through public-private partnerships. Targets Urban Students and aims to boost employability. Goals: Train 3948 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Stakeholder consultations planned. Timeline set."
P1308,District Higher Education Education Reform 99,Higher Education,Kerala,2015,Students,Proposed,17.55,"Teachers' Unions, Community Leaders",0.821,A nationwide/state-level initiative to strengthen early childhood development through grants to schools. Targets Students and aims to reduce dropout rates.,"Train 3167 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","A nationwide/state-level initiative to strengthen early childhood development through grants to schools. Targets Students and aims to reduce dropout rates. Goals: Train 3167 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Focus on equity. Includes evaluation."
P1309,National Secondary Education Reform 83,Higher Education,Punjab,2016,Disadvantaged Groups,Proposed,29.16,"State Education Department, Private Partners",0.118,"Policy to enhance teacher quality and safety standards using grants to schools. Includes capacity-building, monitoring and community engagement.",Increase teacher quality score by 22% within 1 years and reduce disparities between rural and urban areas.,"Policy to enhance teacher quality and safety standards using grants to schools. Includes capacity-building, monitoring and community engagement. Goals: Increase teacher quality score by 22% within 1 years and reduce disparities between rural and urban areas. Budget allocations defined. Timeline set."
P1310,District Vocational Education Reform 42,Early Childhood,Maharashtra,2022,Students,Implemented,59.74,"Teachers' Unions, Community Leaders",0.248,A nationwide/state-level initiative to strengthen teacher quality through digital device distribution. Targets Students and aims to reduce dropout rates.,Increase teacher quality score by 39% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen teacher quality through digital device distribution. Targets Students and aims to reduce dropout rates. Goals: Increase teacher quality score by 39% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Stakeholder consultations planned.
P1311,State Secondary Education Reform 80,Primary,Punjab,2016,Women,Under Review,25.38,"EdTech Companies, Universities",0.523,This policy aims to improve infrastructure in Primary by providing digital device distribution across Punjab. It focuses on marginalized communities.,"Train 4184 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve infrastructure in Primary by providing digital device distribution across Punjab. It focuses on marginalized communities. Goals: Train 4184 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Timeline set. Budget allocations defined."
P1312,District Early Childhood Education Reform 59,Early Childhood,Tamil Nadu,2015,Disadvantaged Groups,Implemented,0.19,"Central Government, Donors",0.338,A nationwide/state-level initiative to strengthen vocational skills through scholarship schemes. Targets Disadvantaged Groups and aims to reduce dropout rates.,Increase vocational skills score by 38% within 2 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen vocational skills through scholarship schemes. Targets Disadvantaged Groups and aims to reduce dropout rates. Goals: Increase vocational skills score by 38% within 2 years and reduce disparities between rural and urban areas. Includes evaluation. Includes evaluation.
P1313,District Higher Education Education Reform 56,Vocational,Kerala,2016,Disadvantaged Groups,Implemented,0.21,"Teachers' Unions, Community Leaders",0.675,This policy aims to improve teacher quality in Vocational by providing public-private partnerships across Kerala. It focuses on STEM education.,Increase teacher quality score by 12% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve teacher quality in Vocational by providing public-private partnerships across Kerala. It focuses on STEM education. Goals: Increase teacher quality score by 12% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Timeline set.
P1314,State Early Childhood Education Reform 56,Vocational,Karnataka,2018,Teachers,Under Review,5.44,"Teachers' Unions, Community Leaders",0.686,This policy aims to improve infrastructure in Vocational by providing public-private partnerships across Karnataka. It focuses on marginalized communities.,"Train 213 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve infrastructure in Vocational by providing public-private partnerships across Karnataka. It focuses on marginalized communities. Goals: Train 213 teachers, deploy tablets to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Focus on equity."
P1315,State Secondary Education Reform 31,Primary,Punjab,2023,Students,Under Review,0.45,"State Education Department, Private Partners",0.634,This policy aims to improve teacher quality in Primary by providing digital device distribution across Punjab. It focuses on STEM education.,Increase teacher quality score by 18% within 2 years and reduce disparities between rural and urban areas.,This policy aims to improve teacher quality in Primary by providing digital device distribution across Punjab. It focuses on STEM education. Goals: Increase teacher quality score by 18% within 2 years and reduce disparities between rural and urban areas. Budget allocations defined. Timeline set.
P1316,State Higher Education Education Reform 76,Primary,Gujarat,2023,Rural Students,Proposed,63.66,"Central Government, Donors",0.708,"Policy to enhance teacher quality and safety standards using teacher training programs. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance teacher quality and safety standards using teacher training programs. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Includes evaluation."
P1317,State Early Childhood Education Reform 50,Higher Education,Kerala,2025,Students,Implemented,0.26,"Central Government, Donors",0.925,"Policy to enhance teacher quality and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 2486 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","Policy to enhance teacher quality and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 2486 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Focus on equity. Budget allocations defined."
P1318,National Vocational Education Reform 61,Vocational,Kerala,2021,All,Proposed,15.48,"EdTech Companies, Universities",0.159,"Policy to enhance digital access and assessment quality using scholarship schemes. Includes capacity-building, monitoring and community engagement.",Increase digital access score by 8% within 2 years and reduce disparities between rural and urban areas.,"Policy to enhance digital access and assessment quality using scholarship schemes. Includes capacity-building, monitoring and community engagement. Goals: Increase digital access score by 8% within 2 years and reduce disparities between rural and urban areas. Focus on equity. Timeline set."
P1319,National Higher Education Education Reform 41,Early Childhood,Maharashtra,2016,Teachers,Implemented,17.7,"Central Government, Donors",0.805,This policy aims to improve teacher quality in Early Childhood by providing curriculum reform across Maharashtra. It focuses on urban inclusion.,"Train 2185 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve teacher quality in Early Childhood by providing curriculum reform across Maharashtra. It focuses on urban inclusion. Goals: Train 2185 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Budget allocations defined. Includes evaluation."
P1320,State Vocational Education Reform 74,Secondary,Karnataka,2015,Women,Implemented,4.88,"State Education Department, Private Partners",0.333,This policy aims to improve infrastructure in Secondary by providing grants to schools across Karnataka. It focuses on urban inclusion.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","This policy aims to improve infrastructure in Secondary by providing grants to schools across Karnataka. It focuses on urban inclusion. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Focus on equity."
P1321,District Early Childhood Education Reform 56,Vocational,Gujarat,2016,Teachers,Implemented,19.19,"Teachers' Unions, Community Leaders",0.356,This policy aims to improve digital access in Vocational by providing curriculum reform across Gujarat. It focuses on gender equity.,"Train 1742 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes.","This policy aims to improve digital access in Vocational by providing curriculum reform across Gujarat. It focuses on gender equity. Goals: Train 1742 teachers, deploy learning kits to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Focus on equity."
P1322,State Higher Education Education Reform 31,Early Childhood,Gujarat,2018,Rural Students,Pilot,0.55,"State Education Department, Private Partners",0.876,"Policy to enhance vocational skills and governance using curriculum reform. Includes capacity-building, monitoring and community engagement.",Increase vocational skills score by 21% within 1 years and reduce disparities between rural and urban areas.,"Policy to enhance vocational skills and governance using curriculum reform. Includes capacity-building, monitoring and community engagement. Goals: Increase vocational skills score by 21% within 1 years and reduce disparities between rural and urban areas. Focus on equity. Budget allocations defined."
P1323,National Vocational Education Reform 46,Early Childhood,Punjab,2015,Students,Under Review,0.22,"Central Government, Donors",0.697,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets Students and aims to reduce dropout rates.,Increase infrastructure score by 37% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen infrastructure through scholarship schemes. Targets Students and aims to reduce dropout rates. Goals: Increase infrastructure score by 37% within 4 years and reduce disparities between rural and urban areas. Focus on equity. Budget allocations defined.
P1324,District Early Childhood Education Reform 56,Secondary,Delhi,2016,Rural Students,Proposed,12.49,"Teachers' Unions, Community Leaders",0.766,"Policy to enhance digital access and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement.","Train 4285 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes.","Policy to enhance digital access and assessment quality using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Train 4285 teachers, deploy mobile labs to schools, and set up monitoring systems to measure outcomes. Includes evaluation. Stakeholder consultations planned."
P1325,District Vocational Education Reform 7,Secondary,Tamil Nadu,2015,Teachers,Implemented,2.62,"State Education Department, Private Partners",0.728,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Teachers and aims to boost employability.,Increase digital access score by 40% within 4 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen digital access through grants to schools. Targets Teachers and aims to boost employability. Goals: Increase digital access score by 40% within 4 years and reduce disparities between rural and urban areas. Includes evaluation. Focus on equity.
P1326,State Primary Education Reform 27,Higher Education,Tamil Nadu,2017,Disadvantaged Groups,Under Review,13.75,"Ministry of Education, Local NGOs",0.568,A nationwide/state-level initiative to strengthen early childhood development through teacher training programs. Targets Disadvantaged Groups and aims to raise completion rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen early childhood development through teacher training programs. Targets Disadvantaged Groups and aims to raise completion rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Focus on equity. Timeline set."
P1327,State Early Childhood Education Reform 14,Higher Education,Tamil Nadu,2015,Students,Pilot,0.28,"Teachers' Unions, Community Leaders",0.629,A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Students and aims to reduce dropout rates.,Increase learning outcomes score by 18% within 1 years and reduce disparities between rural and urban areas.,A nationwide/state-level initiative to strengthen learning outcomes through digital device distribution. Targets Students and aims to reduce dropout rates. Goals: Increase learning outcomes score by 18% within 1 years and reduce disparities between rural and urban areas. Focus on equity. Stakeholder consultations planned.
P1328,District Vocational Education Reform 12,Vocational,Delhi,2017,Teachers,Pilot,0.59,"State Education Department, Private Partners",0.245,"Policy to enhance digital access and governance using digital device distribution. Includes capacity-building, monitoring and community engagement.","Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","Policy to enhance digital access and governance using digital device distribution. Includes capacity-building, monitoring and community engagement. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Budget allocations defined."
P1329,District Primary Education Reform 48,Early Childhood,Uttar Pradesh,2022,Urban Students,Pilot,0.21,"EdTech Companies, Universities",0.477,A nationwide/state-level initiative to strengthen digital access through digital device distribution. Targets Urban Students and aims to reduce dropout rates.,"Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance.","A nationwide/state-level initiative to strengthen digital access through digital device distribution. Targets Urban Students and aims to reduce dropout rates. Goals: Introduce technology-enabled platforms for learning continuity, improve assessment methods, and strengthen governance. Includes evaluation. Includes evaluation."
